Name,Ticker,Revenue,Domain,Founded,Country,City,State
Walmart,WMT,"$500,343,000,000",walmart.com,1995-02-23,US,Bentonville,Arkansas
Exxon Mobil,XOM,"$244,363,000,000",exxonmobil.com,1998-11-25,US,Irving,Texas
Berkshire Hathaway,BRK.B,"$242,137,000,000",berkshirehathaway.com,1996-06-09,US,Omaha,Nebraska
Apple,AAPL,"$229,234,000,000",apple.com,1987-02-19,US,Cupertino,California
UnitedHealth Group,UNH,"$201,159,000,000",unitedhealthgroup.com,1998-02-10,US,Minnetonka,Minnesota
McKesson,MCK,"$198,533,000,000",mckesson.com,1994-09-11,US,Irving,Texas
CVS Health,CVS,"$184,765,000,000",cvshealth.com,2005-04-15,US,Woonsocket,Rhode Island
Amazon.com,AMZN,"$177,866,000,000",amazon.com,1994-01-11,US,,
AT&T,T,"$160,546,000,000",att.com,1986-04-25,US,,
General Motors,GM,"$157,311,000,000",gm.com,1992-01-16,US,,
Ford Motor,F,"$156,776,000,000",ford.com,1988-01-09,US,,
AmerisourceBergen,ABC,"$153,143,000,000",amerisourcebergen.com,2001-03-19,US,,
Chevron,CVX,"$134,533,000,000",chevron.com,1990-04-13,US,,
Cardinal Health,CAH,"$129,976,000,000",cardinalhealth.com,1996-03-20,US,,
Costco,COST,"$129,025,000,000",costco.com,1997-03-17,US,,
Verizon,VZ,"$126,034,000,000",verizon.com,2000-06-03,US,,
Kroger,KR,"$122,662,000,000",kroger.com,1993-05-08,US,,
General Electric,GE,"$122,274,000,000",ge.com,1986-05-08,US,,
Walgreens Boots Alliance,WBA,"$118,214,000,000",walgreensbootsalliance.com,2014-05-08,US,,
JPMorgan Chase,JPM,"$113,899,000,000",jpmorganchase.com,2000-12-09,US,,
Fannie Mae,FNMA,"$112,394,000,000",fanniemae.com,1995-04-28,US,,
Alphabet,GOOGL,"$110,855,000,000",abc.xyz,2014-03-20,US,,
Home Depot,HD,"$100,904,000,000",homedepot.com,1992-04-08,US,,
Bank of America Corp.,BAC,"$100,264,000,000",bankofamerica.com,1998-12-28,US,,
Express Scripts Holding,ESRX,"$100,064,000,000",express-scripts.com,1995-09-28,US,,
Wells Fargo,WFC,"$97,741,000,000",wellsfargo.com,1993-04-28,US,,
Boeing,BA,"$93,392,000,000",boeing.com,1986-02-09,US,,
Phillips 66,PSX,"$91,568,000,000",phillips66.com,1995-09-22,US,,
Anthem,ANTM,"$90,039,000,000",antheminc.com,2002-07-25,US,,
Microsoft,MSFT,"$89,950,000,000",microsoft.com,1991-02-05,US,,
Valero Energy,VLO,"$88,407,000,000",valero.com,1996-02-21,US,,
Citigroup,C,"$87,966,000,000",citigroup.com,1998-06-04,US,,
Comcast,CMCSA,"$84,526,000,000",comcastcorporation.com,1999-04-06,US,,
IBM,IBM,"$79,139,000,000",ibm.com,1986-03-19,US,,
Dell Technologies,DELL,"$78,660,000,000",delltechnologies.com,2004-05-04,US,,
State Farm Insurance Cos.,,"$78,330,000,000",statefarm.com,1995-05-24,US,,
Johnson & Johnson,JNJ,"$76,450,000,000",jnj.com,1993-01-11,US,,
Freddie Mac,FMCC,"$74,676,000,000",freddiemac.com,1995-03-23,US,,
Target,TGT,"$71,879,000,000",target.com,1997-02-01,US,,
Lowe’s,LOW,"$68,619,000,000",lowes.com,1995-06-29,US,,
Marathon Petroleum,MPC,"$67,610,000,000",marathonpetroleum.com,2004-01-09,US,,
Procter & Gamble,PG,"$66,217,000,000",pg.com,1992-02-24,US,,
MetLife,MET,"$66,153,000,000",metlife.com,1994-11-14,US,,
UPS,UPS,"$65,872,000,000",ups.com,1992-07-04,US,,
PepsiCo,PEP,"$63,525,000,000",pepsico.com,1993-10-19,US,,
Intel,INTC,"$62,761,000,000",intel.com,1986-03-25,US,,
DowDuPont,DD,"$62,683,000,000",dow-dupont.com,2015-08-12,US,,
Archer Daniels Midland,ADM,"$60,828,000,000",adm.com,1994-12-10,US,,
Aetna,,"$60,535,000,000",aetna.com,1993-02-11,US,,
FedEx,FDX,"$60,319,000,000",fedex.com,1991-02-26,US,,
United Technologies,,"$59,837,000,000",utc.com,1987-05-27,US,,
Prudential Financial,PRU,"$59,689,000,000",prudential.com,1994-06-22,US,,
Albertsons Companies,27S.DE,"$59,678,000,000",albertsons.com,1994-09-21,US,,
Sysco,SYY,"$55,371,000,000",sysco.com,1994-12-30,US,,
Disney,DIS,"$55,137,000,000",disney.com,1990-03-21,US,,
Humana,HUM,"$53,767,000,000",humana.com,1995-11-29,US,,
Pfizer,PFE,"$52,546,000,000",pfizer.com,1992-04-27,US,,
HP,HPQ,"$52,056,000,000",hp.com,1986-03-03,US,,
Lockheed Martin,LMT,"$51,048,000,000",lockheedmartin.com,1996-12-10,US,,
AIG,AIG,"$49,520,000,000",aig.com,1995-10-25,US,,
Centene,CNC,"$48,572,000,000",centene.com,1997-04-15,US,,
Cisco Systems,CSCO,"$48,005,000,000",cisco.com,1987-05-14,US,,
